ROW,COL
0,4
0,17
0,25
0,32
1,9
1,62
2,5
2,20
2,27
3,42
3,55
4,8
4,19
4,47
4,56
5,14
5,28
5,36
6,4
6,44
6,54
7,5
7,17
7,29
8,1
8,40
8,53
8,62
9,3
9,15
9,21
9,28
10,5
10,7
10,30
10,35
10,47
10,64
11,14
11,22
12,31
12,40
12,41
12,49
13,17
13,22
13,57
14,2
14,30
14,40
14,50
14,55
14,60
14,62
15,22
15,53
15,63
16,35
16,43
16,51
17,6
17,9
17,25
17,55
17,62
17,64
18,35
18,44
19,45
19,60
20,23
20,32
20,64
21,0
21,26
21,43
21,53
22,33
23,4
23,13
23,19
23,34
23,36
23,41
23,48
24,2
24,11
24,51
24,63
25,8
25,34
25,62
26,46
27,4
27,10
27,52
28,21
28,32
28,63
28,64
29,0
29,2
29,15
29,53
30,17
30,37
30,60
31,12
31,35
31,42
32,6
32,14
32,21
32,23
32,33
32,40
32,50
33,7
33,25
33,41
33,54
34,11
34,19
34,46
34,48
35,1
35,26
35,28
35,30
35,40
35,51
35,58
36,62
37,9
37,26
37,36
37,56
37,64
38,4
39,14
39,26
39,29
39,40
39,42
40,12
40,27
40,35
40,37
40,53
41,20
41,29
41,43
42,6
42,44
42,58
42,60
43,2
43,4
43,14
43,31
43,44
43,48
43,54
43,63
44,0
44,5
44,21
44,53
44,55
44,63
